"codigo_region"	"Year"	"Quarter"	"Birth_count"	"deathsum"	"mortality"
15	2017	1	765	0	0
15	2017	2	781	3	3.84122919334187
15	2017	3	780	0	0
15	2017	4	711	3	4.21940928270042
15	2018	1	728	1	1.37362637362637
15	2018	2	759	1	1.31752305665349
15	2018	3	732	0	0
15	2018	4	739	0	0
15	2019	1	746	2	2.68096514745308
15	2019	2	720	1	1.38888888888889
15	2019	3	720	4	5.55555555555556
15	2019	4	707	1	1.41442715700141
16	2015	1	1517	2	1.318391562294
16	2015	2	1444	1	0.692520775623269
16	2015	3	1423	6	4.21644413211525
16	2015	4	1382	1	0.723589001447178
16	2016	1	1496	5	3.34224598930481
16	2016	2	1302	3	2.30414746543779
16	2016	3	1357	3	2.21075902726603
16	2016	4	1296	3	2.31481481481481
16	2017	1	1372	3	2.1865889212828
16	2017	2	1258	2	1.58982511923688
16	2017	3	1353	0	0
16	2017	4	1350	1	0.740740740740741
16	2018	1	1377	1	0.726216412490922
16	2018	2	1309	5	3.81970970206264
16	2018	3	1304	5	3.83435582822086
16	2018	4	1334	2	1.49925037481259
16	2019	1	1286	2	1.5552099533437
16	2019	2	1296	2	1.54320987654321
16	2019	3	1281	2	1.56128024980484
16	2019	4	1202	3	2.49584026622296
