"codigo_comuna";"year";"month";"Mortality_Count";"pop75";"mortality";"codigo_region";"codigo_provincia";"pop_pm25";"total_pop";"pm25_exposure";"pm25Exp_10ug";"quarter";"region";"commune";"quarter_text"
13121;"2019";"1";38;6792;5.59481743227326;13;131;1630616.66242864;98892;16.4888632288622;1.64888632288622;"1";"13";"13121";"Summer"
13121;"2019";"2";32;6792;4.71142520612485;13;131;2007881.90636726;98892;20.3037850014891;2.03037850014891;"1";"13";"13121";"Summer"
13121;"2019";"3";37;6792;5.44758539458186;13;131;1996849.58741508;98892;20.1922257352979;2.01922257352979;"1";"13";"13121";"Summer"
13121;"2019";"4";36;6792;5.30035335689046;13;131;3164013.33416126;98892;31.994633885059;3.1994633885059;"2";"13";"13121";"Fall"
13121;"2019";"5";45;6792;6.62544169611307;13;131;3589817.75576324;98892;36.3003858326583;3.63003858326582;"2";"13";"13121";"Fall"
13121;"2019";"6";37;6792;5.44758539458186;13;131;3956696.16686144;98892;40.0102755213914;4.00102755213914;"2";"13";"13121";"Fall"
13121;"2019";"7";50;6792;7.36160188457008;13;131;4930568.71779915;98892;49.8581150932244;4.98581150932244;"3";"13";"13121";"Winter"
13121;"2019";"8";41;6792;6.03651354534747;13;131;3788380.5118645;98892;38.3082606466094;3.83082606466094;"3";"13";"13121";"Winter"
13121;"2019";"9";44;6792;6.47820965842167;13;131;2108390.45920628;98892;21.3201316507532;2.13201316507532;"3";"13";"13121";"Winter"
13121;"2019";"10";40;6792;5.88928150765607;13;131;1607961.31906244;98892;16.2597714583833;1.62597714583833;"4";"13";"13121";"Spring"
13121;"2019";"11";33;6792;4.85865724381625;13;131;1613671.82941741;98892;16.3175163756159;1.63175163756159;"4";"13";"13121";"Spring"
13121;"2019";"12";39;6792;5.74204946996466;13;131;1465491.31571776;98892;14.819108883608;1.4819108883608;"4";"13";"13121";"Spring"
13122;"2015";"1";35;9479;3.69237261314485;13;131;4634499.00721736;236863;19.5661585271543;1.95661585271543;"1";"13";"13122";"Summer"
13122;"2015";"2";52;9479;5.48581073952949;13;131;4361799.86187533;236863;18.4148637054978;1.84148637054978;"1";"13";"13122";"Summer"
13122;"2015";"3";37;9479;3.90336533389598;13;131;5287261.53467057;236863;22.3220238478385;2.23220238478385;"1";"13";"13122";"Summer"
13122;"2015";"4";41;9479;4.32535077539825;13;131;6792775.29858237;236863;28.6780767725747;2.86780767725747;"2";"13";"13122";"Fall"
13122;"2015";"5";40;9479;4.21985441502268;13;131;8698468.53991858;236863;36.7236273285341;3.67236273285341;"2";"13";"13122";"Fall"
13122;"2015";"6";59;9479;6.22428526215846;13;131;9679607.48181288;236863;40.865848536128;4.0865848536128;"2";"13";"13122";"Fall"
13122;"2015";"7";63;9479;6.64627070366072;13;131;9442810.72698933;236863;39.8661282133103;3.98661282133103;"3";"13";"13122";"Winter"
13122;"2015";"8";59;9479;6.22428526215846;13;131;8197832.46990225;236863;34.6100170558603;3.46100170558603;"3";"13";"13122";"Winter"
13122;"2015";"9";55;9479;5.80229982065619;13;131;5541232.39463089;236863;23.3942506623275;2.33942506623275;"3";"13";"13122";"Winter"
13122;"2015";"10";54;9479;5.69680346028062;13;131;3959360.64963813;236863;16.7158258133948;1.67158258133948;"4";"13";"13122";"Spring"
13122;"2015";"11";41;9479;4.32535077539825;13;131;3712639.35640332;236863;15.674205580455;1.5674205580455;"4";"13";"13122";"Spring"
13122;"2015";"12";47;9479;4.95832893765165;13;131;3792001.70132944;236863;16.009261477434;1.6009261477434;"4";"13";"13122";"Spring"
13122;"2016";"1";43;9479;4.53634349614938;13;131;4676974.64529647;236863;19.7454842896377;1.97454842896377;"1";"13";"13122";"Summer"
13122;"2016";"2";41;9479;4.32535077539825;13;131;3565280.47114574;236863;15.0520785059116;1.50520785059116;"1";"13";"13122";"Summer"
13122;"2016";"3";40;9479;4.21985441502268;13;131;6698829.00312542;236863;28.2814496275291;2.82814496275291;"1";"13";"13122";"Summer"
13122;"2016";"4";44;9479;4.64183985652495;13;131;6497383.97962424;236863;27.4309790031547;2.74309790031547;"2";"13";"13122";"Fall"
13122;"2016";"5";50;9479;5.27481801877835;13;131;9251303.77015211;236863;39.0576146133086;3.90576146133086;"2";"13";"13122";"Fall"
13122;"2016";"6";38;9479;4.00886169427155;13;131;10801913.3493322;236863;45.6040552949689;4.56040552949689;"2";"13";"13122";"Fall"
13122;"2016";"7";55;9479;5.80229982065619;13;131;9449081.82933006;236863;39.8926038652303;3.98926038652303;"3";"13";"13122";"Winter"
13122;"2016";"8";51;9479;5.38031437915392;13;131;9558801.97522358;236863;40.3558258369757;4.03558258369757;"3";"13";"13122";"Winter"
13122;"2016";"9";48;9479;5.06382529802722;13;131;6131320.59749179;236863;25.8855144006949;2.58855144006949;"3";"13";"13122";"Winter"
13122;"2016";"10";39;9479;4.11435805464711;13;131;3542175.63435113;236863;14.9545333562064;1.49545333562064;"4";"13";"13122";"Spring"
13122;"2016";"11";42;9479;4.43084713577382;13;131;3509260.61826747;236863;14.815571103412;1.4815571103412;"4";"13";"13122";"Spring"
13122;"2016";"12";55;9479;5.80229982065619;13;131;4723410.38866584;236863;19.9415290216954;1.99415290216954;"4";"13";"13122";"Spring"
13122;"2017";"1";55;9479;5.80229982065619;13;131;9044802.6675509;236863;38.1857979825929;3.81857979825929;"1";"13";"13122";"Summer"
13122;"2017";"2";39;9479;4.11435805464711;13;131;3976437.73828714;236863;16.7879227160305;1.67879227160305;"1";"13";"13122";"Summer"
13122;"2017";"3";39;9479;4.11435805464711;13;131;5205199.76975544;236863;21.9755714052235;2.19755714052235;"1";"13";"13122";"Summer"
13122;"2017";"4";37;9479;3.90336533389598;13;131;5345600.25447807;236863;22.5683211581297;2.25683211581297;"2";"13";"13122";"Fall"
13122;"2017";"5";70;9479;7.38474522628969;13;131;8507307.89917804;236863;35.9165758230624;3.59165758230624;"2";"13";"13122";"Fall"
13122;"2017";"6";62;9479;6.54077434328516;13;131;9552777.74560117;236863;40.3303924445826;4.03303924445826;"2";"13";"13122";"Fall"
13122;"2017";"7";68;9479;7.17375250553856;13;131;8648937.58874716;236863;36.5145150941564;3.65145150941564;"3";"13";"13122";"Winter"
13122;"2017";"8";54;9479;5.69680346028062;13;131;8369114.14295072;236863;35.3331425463273;3.53331425463273;"3";"13";"13122";"Winter"
13122;"2017";"9";46;9479;4.85283257727608;13;131;5986025.71712268;236863;25.2721012446971;2.5272101244697;"3";"13";"13122";"Winter"
13122;"2017";"10";46;9479;4.85283257727608;13;131;3887585.29227014;236863;16.4128010380268;1.64128010380268;"4";"13";"13122";"Spring"
13122;"2017";"11";43;9479;4.53634349614938;13;131;3643141.92808669;236863;15.3807978793087;1.53807978793087;"4";"13";"13122";"Spring"
13122;"2017";"12";41;9479;4.32535077539825;13;131;3909294.67006909;236863;16.5044547695043;1.65044547695043;"4";"13";"13122";"Spring"
13122;"2018";"1";50;9479;5.27481801877835;13;131;4177334.18148937;236863;17.6360773168007;1.76360773168007;"1";"13";"13122";"Summer"
13122;"2018";"2";28;9479;2.95389809051588;13;131;4021278.93532555;236863;16.9772355130415;1.69772355130415;"1";"13";"13122";"Summer"
13122;"2018";"3";45;9479;4.74733621690052;13;131;4908815.45105687;236863;20.7242813400863;2.07242813400863;"1";"13";"13122";"Summer"
13122;"2018";"4";41;9479;4.32535077539825;13;131;6354282.16044826;236863;26.8268246220315;2.68268246220315;"2";"13";"13122";"Fall"
13122;"2018";"5";68;9479;7.17375250553856;13;131;7574699.59159606;236863;31.9792436623536;3.19792436623536;"2";"13";"13122";"Fall"
13122;"2018";"6";57;9479;6.01329254140732;13;131;10078378.1747405;236863;42.5493984908597;4.25493984908597;"2";"13";"13122";"Fall"
13122;"2018";"7";72;9479;7.59573794704083;13;131;8609200.61607083;236863;36.3467515655499;3.63467515655499;"3";"13";"13122";"Winter"
13122;"2018";"8";90;9479;9.49467243380103;13;131;9023203.50359771;236863;38.0946095574138;3.80946095574138;"3";"13";"13122";"Winter"
13122;"2018";"9";52;9479;5.48581073952949;13;131;5789199.45127037;236863;24.4411303211999;2.44411303211999;"3";"13";"13122";"Winter"
13122;"2018";"10";49;9479;5.16932165840278;13;131;3633634.90329664;236863;15.3406606489686;1.53406606489686;"4";"13";"13122";"Spring"
13122;"2018";"11";42;9479;4.43084713577382;13;131;3075869.88308406;236863;12.985860531548;1.2985860531548;"4";"13";"13122";"Spring"
13122;"2018";"12";51;9479;5.38031437915392;13;131;3531240.98921181;236863;14.9083689272356;1.49083689272356;"4";"13";"13122";"Spring"
13122;"2019";"1";54;9479;5.69680346028062;13;131;4280119.19395942;236863;18.0700201971579;1.80700201971579;"1";"13";"13122";"Summer"
13122;"2019";"2";46;9479;4.85283257727608;13;131;4631870.65044268;236863;19.5550619997327;1.95550619997327;"1";"13";"13122";"Summer"
13122;"2019";"3";48;9479;5.06382529802722;13;131;4582221.53371701;236863;19.3454508881379;1.93454508881379;"1";"13";"13122";"Summer"
13122;"2019";"4";37;9479;3.90336533389598;13;131;6858654.29604906;236863;28.9562080023012;2.89562080023012;"2";"13";"13122";"Fall"
13122;"2019";"5";50;9479;5.27481801877835;13;131;7590617.30387728;236863;32.0464458521478;3.20464458521478;"2";"13";"13122";"Fall"
