CODIGO_COMUNA_RESIDENCIA,Year,Quarter,Mortality_Count
5302,2015,1,5
5302,2015,2,5
5302,2015,3,6
5302,2015,4,4
5302,2016,1,9
5302,2016,2,7
5302,2016,3,7
5302,2016,4,9
5302,2017,1,7
5302,2017,2,8
5302,2017,3,9
5302,2017,4,13
5302,2018,1,8
5302,2018,2,11
5302,2018,3,12
5302,2018,4,11
5302,2019,1,6
5302,2019,2,7
5302,2019,3,12
5302,2019,4,9
5303,2015,1,11
5303,2015,2,8
5303,2015,3,6
5303,2015,4,6
5303,2016,1,4
5303,2016,2,6
5303,2016,3,11
5303,2016,4,8
5303,2017,1,8
5303,2017,2,7
5303,2017,3,4
5303,2017,4,7
5303,2018,1,4
5303,2018,2,5
5303,2018,3,10
5303,2018,4,3
5303,2019,1,9
5303,2019,2,6
5303,2019,3,8
5303,2019,4,5
5304,2015,1,10
5304,2015,2,12
5304,2015,3,16
5304,2015,4,9
5304,2016,1,12
5304,2016,2,20
5304,2016,3,20
5304,2016,4,5
5304,2017,1,7
5304,2017,2,18
5304,2017,3,13
5304,2017,4,13
5304,2018,1,8
5304,2018,2,13
5304,2018,3,19
5304,2018,4,11
5304,2019,1,16
5304,2019,2,19
5304,2019,3,24
5304,2019,4,16
5401,2015,1,31
5401,2015,2,33
5401,2015,3,45
5401,2015,4,22
5401,2016,1,16
5401,2016,2,31
5401,2016,3,39
5401,2016,4,29
5401,2017,1,24
5401,2017,2,19
5401,2017,3,33
5401,2017,4,33
5401,2018,1,22
5401,2018,2,35
5401,2018,3,41
5401,2018,4,26
5401,2019,1,31
5401,2019,2,24
5401,2019,3,44
5401,2019,4,29
5402,2015,1,6
5402,2015,2,16
5402,2015,3,16
5402,2015,4,13
5402,2016,1,16
5402,2016,2,17
5402,2016,3,16
5402,2016,4,15
5402,2017,1,15
5402,2017,2,20
5402,2017,3,23
5402,2017,4,20
5402,2018,1,22
5402,2018,2,16
5402,2018,3,24
5402,2018,4,18
5402,2019,1,7
5402,2019,2,17
5402,2019,3,22
5402,2019,4,21
5403,2015,1,5
5403,2015,2,6
5403,2015,3,3
5403,2015,4,5
5403,2016,1,4
5403,2016,2,5
5403,2016,3,9
5403,2016,4,5
5403,2017,1,5
5403,2017,2,7
5403,2017,3,8
5403,2017,4,4
5403,2018,1,4
5403,2018,2,9
5403,2018,3,4
5403,2018,4,7
5403,2019,1,4
5403,2019,2,3
5403,2019,3,5
5403,2019,4,6
5404,2015,1,10
5404,2015,2,5
5404,2015,3,7
5404,2015,4,4
5404,2016,1,12
5404,2016,2,9
5404,2016,3,14
5404,2016,4,8
5404,2017,1,15
5404,2017,2,8
5404,2017,3,13
5404,2017,4,14
5404,2018,1,4
5404,2018,2,8
5404,2018,3,17
5404,2018,4,16
5404,2019,1,8
5404,2019,2,13
5404,2019,3,4
5404,2019,4,12
5405,2015,1,4
5405,2015,2,7
5405,2015,3,6
5405,2015,4,6
5405,2016,1,4
5405,2016,2,7
5405,2016,3,4
5405,2016,4,6
5405,2017,1,9
5405,2017,2,8
5405,2017,3,7
5405,2017,4,4
5405,2018,1,4
5405,2018,2,4
5405,2018,3,4
5405,2018,4,7
5405,2019,1,9
5405,2019,2,6
5405,2019,3,12
5405,2019,4,5
5501,2015,1,79
5501,2015,2,82
5501,2015,3,116
5501,2015,4,91
5501,2016,1,76
5501,2016,2,91
5501,2016,3,105
5501,2016,4,70
