"region";"province";"commune";"site";"longitude";"latitude";"year";"month";"pollutant";"value";"n";"completeness"
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;1;"mp2.5";14.4657740740741;27;87.0967741935484
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;2;"mp2.5";14.518716;25;80.6451612903226
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;5;"mp2.5";29.7625666666667;30;96.7741935483871
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;6;"mp2.5";31.4364931034483;29;93.5483870967742
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;7;"mp2.5";31.1992466666667;30;96.7741935483871
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;8;"mp2.5";20.2689064516129;31;100
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;9;"mp2.5";16.0484933333333;30;96.7741935483871
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;10;"mp2.5";13.3913248387097;31;100
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;11;"mp2.5";11.1216183333333;30;96.7741935483871
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;12;"mp2.5";10.8163487096774;31;100
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;1;"mp2.5";8.38199166666667;30;96.7741935483871
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;2;"mp2.5";10.6695489655172;29;93.5483870967742
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;3;"mp2.5";11.248504;30;96.7741935483871
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;4;"mp2.5";11.6324613333333;30;96.7741935483871
