"site";"latitude";"longitude";"pm25_satellite";"year";"month"
"San Fernando";-34.5798816256345;-70.9896709012778;27.6903125815984;"2020";"04"
"San Fernando";-34.5798816256345;-70.9896709012778;33.7488297414425;"2020";"05"
"San Fernando";-34.5798816256345;-70.9896709012778;35.6362964561949;"2020";"06"
"San Fernando";-34.5798816256345;-70.9896709012778;37.9364507543033;"2020";"07"
"San Fernando";-34.5798816256345;-70.9896709012778;29.3303010789283;"2020";"08"
"San Fernando";-34.5798816256345;-70.9896709012778;21.508644945081;"2020";"09"
"San Fernando";-34.5798816256345;-70.9896709012778;15.098906459838;"2020";"10"
"San Fernando";-34.5798816256345;-70.9896709012778;13.4228169908898;"2020";"11"
"San Fernando";-34.5798816256345;-70.9896709012778;10.2282671896016;"2020";"12"
"San Fernando";-34.5798816256345;-70.9896709012778;13.9987531422716;"2021";"01"
"San Fernando";-34.5798816256345;-70.9896709012778;14.9657431798178;"2021";"02"
"San Fernando";-34.5798816256345;-70.9896709012778;13.0672806387819;"2021";"03"
"San Fernando";-34.5798816256345;-70.9896709012778;23.954592462945;"2021";"04"
"San Fernando";-34.5798816256345;-70.9896709012778;39.6217225985174;"2021";"05"
"San Fernando";-34.5798816256345;-70.9896709012778;42.7380060890659;"2021";"06"
"San Fernando";-34.5798816256345;-70.9896709012778;44.8773358350751;"2021";"07"
"San Fernando";-34.5798816256345;-70.9896709012778;44.4239121462018;"2021";"08"
"San Fernando";-34.5798816256345;-70.9896709012778;20.8249185265938;"2021";"09"
"San Fernando";-34.5798816256345;-70.9896709012778;15.8780375551505;"2021";"10"
"San Fernando";-34.5798816256345;-70.9896709012778;14.5260125374965;"2021";"11"
"San Fernando";-34.5798816256345;-70.9896709012778;23.3063040764498;"2021";"12"
"Talagante";-33.6738193129904;-70.9529961584255;18.6046812560451;"2015";"01"
"Talagante";-33.6738193129904;-70.9529961584255;18.2429790146358;"2015";"02"
"Talagante";-33.6738193129904;-70.9529961584255;23.1511131157439;"2015";"03"
"Talagante";-33.6738193129904;-70.9529961584255;33.6812822669629;"2015";"04"
"Talagante";-33.6738193129904;-70.9529961584255;39.5353166379298;"2015";"05"
"Talagante";-33.6738193129904;-70.9529961584255;42.3800762144403;"2015";"06"
"Talagante";-33.6738193129904;-70.9529961584255;41.6117289135461;"2015";"07"
"Talagante";-33.6738193129904;-70.9529961584255;28.5211944002683;"2015";"08"
"Talagante";-33.6738193129904;-70.9529961584255;22.7553362633788;"2015";"09"
"Talagante";-33.6738193129904;-70.9529961584255;14.3836442687652;"2015";"10"
"Talagante";-33.6738193129904;-70.9529961584255;13.6860051939624;"2015";"11"
"Talagante";-33.6738193129904;-70.9529961584255;15.236534206046;"2015";"12"
"Talagante";-33.6738193129904;-70.9529961584255;22.0178693008604;"2016";"01"
"Talagante";-33.6738193129904;-70.9529961584255;20.9214585351311;"2016";"02"
"Talagante";-33.6738193129904;-70.9529961584255;23.4767422285741;"2016";"03"
"Talagante";-33.6738193129904;-70.9529961584255;28.457696426185;"2016";"04"
"Talagante";-33.6738193129904;-70.9529961584255;42.5999984741211;"2016";"05"
"Talagante";-33.6738193129904;-70.9529961584255;46.7883551306647;"2016";"06"
"Talagante";-33.6738193129904;-70.9529961584255;42.5095295846715;"2016";"07"
"Talagante";-33.6738193129904;-70.9529961584255;27.7752699613769;"2016";"08"
"Talagante";-33.6738193129904;-70.9529961584255;23.9954258415221;"2016";"09"
"Talagante";-33.6738193129904;-70.9529961584255;13.4212253415329;"2016";"10"
"Talagante";-33.6738193129904;-70.9529961584255;15.0235865359132;"2016";"11"
"Talagante";-33.6738193129904;-70.9529961584255;15.5954374022216;"2016";"12"
"Talagante";-33.6738193129904;-70.9529961584255;40.319890087698;"2017";"01"
"Talagante";-33.6738193129904;-70.9529961584255;17.4640263506843;"2017";"02"
"Talagante";-33.6738193129904;-70.9529961584255;20.536629832685;"2017";"03"
"Talagante";-33.6738193129904;-70.9529961584255;25.4010796528385;"2017";"04"
"Talagante";-33.6738193129904;-70.9529961584255;38.437678370549;"2017";"05"
"Talagante";-33.6738193129904;-70.9529961584255;44.4117946251313;"2017";"06"
"Talagante";-33.6738193129904;-70.9529961584255;42.3706325129201;"2017";"07"
"Talagante";-33.6738193129904;-70.9529961584255;28.9915743556288;"2017";"08"
"Talagante";-33.6738193129904;-70.9529961584255;22.2636253382686;"2017";"09"
"Talagante";-33.6738193129904;-70.9529961584255;14.3353800508394;"2017";"10"
"Talagante";-33.6738193129904;-70.9529961584255;16.3117925612519;"2017";"11"
"Talagante";-33.6738193129904;-70.9529961584255;14.0518316219635;"2017";"12"
"Talagante";-33.6738193129904;-70.9529961584255;15.7509730867965;"2018";"01"
"Talagante";-33.6738193129904;-70.9529961584255;18.5310709745733;"2018";"02"
"Talagante";-33.6738193129904;-70.9529961584255;20.8426545850235;"2018";"03"
"Talagante";-33.6738193129904;-70.9529961584255;25.6025086172967;"2018";"04"
"Talagante";-33.6738193129904;-70.9529961584255;36.1318115593698;"2018";"05"
"Talagante";-33.6738193129904;-70.9529961584255;44.8446132748644;"2018";"06"
"Talagante";-33.6738193129904;-70.9529961584255;39.7612007864708;"2018";"07"
"Talagante";-33.6738193129904;-70.9529961584255;33.8354648678469;"2018";"08"
"Talagante";-33.6738193129904;-70.9529961584255;21.5376775633098;"2018";"09"
"Talagante";-33.6738193129904;-70.9529961584255;11.7450559591239;"2018";"10"
"Talagante";-33.6738193129904;-70.9529961584255;12.3834958362417;"2018";"11"
"Talagante";-33.6738193129904;-70.9529961584255;13.2094322080764;"2018";"12"
"Talagante";-33.6738193129904;-70.9529961584255;14.8191607313278;"2019";"01"
"Talagante";-33.6738193129904;-70.9529961584255;17.3220502013454;"2019";"02"
"Talagante";-33.6738193129904;-70.9529961584255;21.5472800128628;"2019";"03"
"Talagante";-33.6738193129904;-70.9529961584255;29.6177947532036;"2019";"04"
"Talagante";-33.6738193129904;-70.9529961584255;35.1117920232514;"2019";"05"
"Talagante";-33.6738193129904;-70.9529961584255;37.5;"2019";"06"
"Talagante";-33.6738193129904;-70.9529961584255;42.8198093618277;"2019";"07"
"Talagante";-33.6738193129904;-70.9529961584255;26.4164628964235;"2019";"08"
"Talagante";-33.6738193129904;-70.9529961584255;20.2494710886972;"2019";"09"
"Talagante";-33.6738193129904;-70.9529961584255;14.1801810403886;"2019";"10"
"Talagante";-33.6738193129904;-70.9529961584255;17.2999992370606;"2019";"11"
"Talagante";-33.6738193129904;-70.9529961584255;13.7918698974031;"2019";"12"
"Talagante";-33.6738193129904;-70.9529961584255;17.4730571093832;"2020";"01"
"Talagante";-33.6738193129904;-70.9529961584255;21.2242518403264;"2020";"02"
"Talagante";-33.6738193129904;-70.9529961584255;20.1413520649148;"2020";"03"
"Talagante";-33.6738193129904;-70.9529961584255;29.0718506753908;"2020";"04"
"Talagante";-33.6738193129904;-70.9529961584255;36.5200188625096;"2020";"05"
"Talagante";-33.6738193129904;-70.9529961584255;35.2882920209595;"2020";"06"
"Talagante";-33.6738193129904;-70.9529961584255;39.0800769773797;"2020";"07"
"Talagante";-33.6738193129904;-70.9529961584255;31.9188122273211;"2020";"08"
"Talagante";-33.6738193129904;-70.9529961584255;22.3694893689066;"2020";"09"
"Talagante";-33.6738193129904;-70.9529961584255;16.515360548321;"2020";"10"
"Talagante";-33.6738193129904;-70.9529961584255;16.6141545860102;"2020";"11"
"Talagante";-33.6738193129904;-70.9529961584255;13.7165149617011;"2020";"12"
"Talagante";-33.6738193129904;-70.9529961584255;16.9155079940106;"2021";"01"
"Talagante";-33.6738193129904;-70.9529961584255;18.251204597985;"2021";"02"
"Talagante";-33.6738193129904;-70.9529961584255;19.814409420525;"2021";"03"
"Talagante";-33.6738193129904;-70.9529961584255;25.4355609326752;"2021";"04"
"Talagante";-33.6738193129904;-70.9529961584255;46.6587554587875;"2021";"05"
"Talagante";-33.6738193129904;-70.9529961584255;42.4445486392803;"2021";"06"
"Talagante";-33.6738193129904;-70.9529961584255;54.0892970036593;"2021";"07"
"Talagante";-33.6738193129904;-70.9529961584255;38.6682823522484;"2021";"08"
"Talagante";-33.6738193129904;-70.9529961584255;21.5529746200903;"2021";"09"
"Talagante";-33.6738193129904;-70.9529961584255;18.0907152931053;"2021";"10"
"Talagante";-33.6738193129904;-70.9529961584255;17.1176587004346;"2021";"11"
"Talagante";-33.6738193129904;-70.9529961584255;24.2970072940754;"2021";"12"
"U.C. Maule";-35.4357717479047;-71.6194679090692;10.5565622661739;"2015";"01"
"U.C. Maule";-35.4357717479047;-71.6194679090692;12.716628353927;"2015";"02"
"U.C. Maule";-35.4357717479047;-71.6194679090692;12.7802442752185;"2015";"03"
"U.C. Maule";-35.4357717479047;-71.6194679090692;28.7826114310026;"2015";"04"
"U.C. Maule";-35.4357717479047;-71.6194679090692;33.4753383507339;"2015";"05"
"U.C. Maule";-35.4357717479047;-71.6194679090692;30.6731155564113;"2015";"06"
"U.C. Maule";-35.4357717479047;-71.6194679090692;33;"2015";"07"
