"region";"province";"commune";"site";"longitude";"latitude";"year";"pollutant";"value";"n";"completeness"
"M";"Santiago";"Las Condes";"Las Condes";-70.5232561485338;-33.3767760480796;2015;"mp2.5";25.1774957507082;353;96.7123287671233
"M";"Santiago";"Las Condes";"Las Condes";-70.5232561485338;-33.3767760480796;2016;"mp2.5";26.2492092401216;329;90.1369863013699
"M";"Santiago";"Las Condes";"Las Condes";-70.5232561485338;-33.3767760480796;2017;"mp2.5";21.6667040634006;347;95.0684931506849
"M";"Santiago";"Las Condes";"Las Condes";-70.5232561485338;-33.3767760480796;2018;"mp2.5";21.6834319526627;338;92.6027397260274
"M";"Santiago";"Las Condes";"Las Condes";-70.5232561485338;-33.3767760480796;2019;"mp2.5";20.0593220338983;354;96.986301369863
"M";"Santiago";"Las Condes";"Las Condes";-70.5232561485338;-33.3767760480796;2020;"mp2.5";15.5099150141643;353;96.7123287671233
"M";"Santiago";"Las Condes";"Las Condes";-70.5232561485338;-33.3767760480796;2021;"mp2.5";18.1388101983003;353;96.7123287671233
"M";"Santiago";"Las Condes";"Las Condes";-70.5232561485338;-33.3767760480796;2022;"mp2.5";18.6428571428571;350;95.8904109589041
"M";"Santiago";"Pudahuel";"Pudahuel";-70.7501440879609;-33.4377853571256;2015;"mp2.5";34.0417275423729;354;96.986301369863
"M";"Santiago";"Pudahuel";"Pudahuel";-70.7501440879609;-33.4377853571256;2016;"mp2.5";32.1220721449275;345;94.5205479452055
"M";"Santiago";"Pudahuel";"Pudahuel";-70.7501440879609;-33.4377853571256;2017;"mp2.5";29.7368730434783;276;75.6164383561644
"M";"Santiago";"Pudahuel";"Pudahuel";-70.7501440879609;-33.4377853571256;2018;"mp2.5";26.8580060422961;331;90.6849315068493
"M";"Santiago";"Pudahuel";"Pudahuel";-70.7501440879609;-33.4377853571256;2019;"mp2.5";27.2766570605187;347;95.0684931506849
"M";"Santiago";"Pudahuel";"Pudahuel";-70.7501440879609;-33.4377853571256;2020;"mp2.5";24.1790633608815;363;99.4520547945205
"M";"Santiago";"Pudahuel";"Pudahuel";-70.7501440879609;-33.4377853571256;2021;"mp2.5";27.1960227272727;352;96.4383561643836
"M";"Santiago";"Pudahuel";"Pudahuel";-70.7501440879609;-33.4377853571256;2022;"mp2.5";25.08356545961;359;98.3561643835616
"M";"Santiago";"Quilicura";"Quilicura";-70.7238457658324;-33.3496312950099;2017;"mp2.5";27.0495210682493;337;92.3287671232877
"M";"Santiago";"Quilicura";"Quilicura";-70.7238457658324;-33.3496312950099;2018;"mp2.5";24.8154761904762;336;92.0547945205479
"M";"Santiago";"Quilicura";"Quilicura";-70.7238457658324;-33.3496312950099;2019;"mp2.5";24.3757062146893;354;96.986301369863
"M";"Santiago";"Quilicura";"Quilicura";-70.7238457658324;-33.3496312950099;2020;"mp2.5";22.6173184357542;358;98.0821917808219
"M";"Santiago";"Quilicura";"Quilicura";-70.7238457658324;-33.3496312950099;2021;"mp2.5";25.4313725490196;357;97.8082191780822
"M";"Santiago";"Quilicura";"Quilicura";-70.7238457658324;-33.3496312950099;2022;"mp2.5";24.7752808988764;356;97.5342465753425
"M";"Santiago";"Quilicura";"Quilicura I";-70.7482185408749;-33.3658568782831;2015;"mp2.5";30.2934286871508;358;98.0821917808219
"M";"Santiago";"Santiago";"Parque O'Higgins";-70.6607022934447;-33.4641765050683;2015;"mp2.5";31.7644707865169;356;97.5342465753425
"M";"Santiago";"Santiago";"Parque O'Higgins";-70.6607022934447;-33.4641765050683;2016;"mp2.5";28.6072;354;96.986301369863
"M";"Santiago";"Santiago";"Parque O'Higgins";-70.6607022934447;-33.4641765050683;2017;"mp2.5";27.1371627065527;351;96.1643835616438
"M";"Santiago";"Santiago";"Parque O'Higgins";-70.6607022934447;-33.4641765050683;2018;"mp2.5";26.2126436781609;348;95.3424657534246
"M";"Santiago";"Santiago";"Parque O'Higgins";-70.6607022934447;-33.4641765050683;2019;"mp2.5";25.6787709497207;358;98.0821917808219
"M";"Santiago";"Santiago";"Parque O'Higgins";-70.6607022934447;-33.4641765050683;2020;"mp2.5";21.2747875354108;353;96.7123287671233
"M";"Santiago";"Santiago";"Parque O'Higgins";-70.6607022934447;-33.4641765050683;2021;"mp2.5";23.0821529745043;353;96.7123287671233
"M";"Santiago";"Santiago";"Parque O'Higgins";-70.6607022934447;-33.4641765050683;2022;"mp2.5";23.6518105849582;359;98.3561643835616
"M";"Talagante";"Talagante";"Talagante";-70.9529961584255;-33.6738193129904;2015;"mp2.5";27.3944335849057;318;87.1232876712329
"M";"Talagante";"Talagante";"Talagante";-70.9529961584255;-33.6738193129904;2016;"mp2.5";24.7117729651163;344;94.2465753424658
"M";"Talagante";"Talagante";"Talagante";-70.9529961584255;-33.6738193129904;2017;"mp2.5";24.1674611949686;318;87.1232876712329
"M";"Talagante";"Talagante";"Talagante";-70.9529961584255;-33.6738193129904;2018;"mp2.5";20.773413897281;331;90.6849315068493
"M";"Talagante";"Talagante";"Talagante";-70.9529961584255;-33.6738193129904;2019;"mp2.5";21.7067448680352;341;93.4246575342466
"M";"Talagante";"Talagante";"Talagante";-70.9529961584255;-33.6738193129904;2022;"mp2.5";23.7175141242938;354;96.986301369863
"V";"Valparaíso";"Concón";"Concón MMA";-71.5124634502457;-32.9262411069871;2018;"mp2.5";16.0254237288136;354;96.986301369863
"V";"Valparaíso";"Concón";"Concón MMA";-71.5124634502457;-32.9262411069871;2019;"mp2.5";14.356940509915;353;96.7123287671233
"V";"Valparaíso";"Concón";"Concón MMA";-71.5124634502457;-32.9262411069871;2020;"mp2.5";14.3961218836565;361;98.9041095890411
"V";"Valparaíso";"Concón";"Concón MMA";-71.5124634502457;-32.9262411069871;2021;"mp2.5";13.3416666666667;360;98.6301369863014
"V";"Valparaíso";"Concón";"Concón MMA";-71.5124634502457;-32.9262411069871;2022;"mp2.5";14.1532033426184;359;98.3561643835616
"V";"Valparaíso";"Quilpué";"Quilpue";-71.4345000749348;-33.0474413247694;2015;"mp2.5";17.3541728254848;361;98.9041095890411
