"region";"province";"commune";"site";"longitude";"latitude";"year";"month";"pollutant";"value";"n";"completeness";"pm25_satellite"
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;6;"mp2.5";14.1851851851852;27;87.0967741935484;17.3071057665336
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;7;"mp2.5";14.6896551724138;29;93.5483870967742;18.2896655548952
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;9;"mp2.5";10.3846153846154;26;83.8709677419355;14.3246280103685
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;10;"mp2.5";7.33333333333333;30;96.7741935483871;10.8781453036096
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;11;"mp2.5";7;28;90.3225806451613;11.801339506515
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;12;"mp2.5";7.16129032258065;31;100;9.34019784661897
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;1;"mp2.5";6.16129032258065;31;100;11.6838119662993
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;2;"mp2.5";5.78571428571429;28;90.3225806451613;15.005505291387
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;3;"mp2.5";8.48148148148148;27;87.0967741935484;15.1232550205456
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;4;"mp2.5";10.5333333333333;30;96.7741935483871;15.6900842016466
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;5;"mp2.5";14.6774193548387;31;100;17.7766826917508
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;6;"mp2.5";16.8333333333333;30;96.7741935483871;19.1208376626783
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;7;"mp2.5";17.2758620689655;29;93.5483870967742;19.856447275813
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;8;"mp2.5";17.741935483871;31;100;16.7141896691351
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;9;"mp2.5";11.1;30;96.7741935483871;17.029880429072
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;10;"mp2.5";11.8387096774194;31;100;13.9091129463429
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;11;"mp2.5";10.5666666666667;30;96.7741935483871;13.8654122375768
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;12;"mp2.5";11.2666666666667;30;96.7741935483871;13.5507855953172
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;1;"mp2.5";8.17241379310345;29;93.5483870967742;13.180832726417
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;2;"mp2.5";8.13793103448276;29;93.5483870967742;15.1964400702558
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2020;3;"mp2.5";8.44;25;80.6451612903226;13.9687228645601
