CODIGO_COMUNA_RESIDENCIA,Year,Gender,Death_count_all_cause,Mean_age,Age group
1405,2018,Mujer,11,87.81818181818181,75+
1405,2019,Hombre,6,85.16666666666667,75+
1405,2019,Mujer,7,91.0,75+
2101,1990,Hombre,172,81.59302325581395,75+
2101,1990,Mujer,242,82.7892561983471,75+
2101,1991,Hombre,208,81.54326923076923,75+
2101,1991,Mujer,248,82.95564516129032,75+
2101,1992,Hombre,197,81.34010152284264,75+
2101,1992,Mujer,229,83.51528384279476,75+
2101,1993,Hombre,233,81.65665236051503,75+
2101,1993,Mujer,245,83.71020408163265,75+
2101,1994,Hombre,176,82.50568181818181,75+
2101,1994,Mujer,272,83.63970588235294,75+
2101,1995,Hombre,198,81.61111111111111,75+
2101,1995,Mujer,258,84.3062015503876,75+
2101,1996,Hombre,211,81.42654028436019,75+
2101,1996,Mujer,272,83.40073529411765,75+
2101,1997,Hombre,205,82.28780487804877,75+
2101,1997,Mujer,283,84.21908127208481,75+
2101,1998,Hombre,243,82.33333333333333,75+
2101,1998,Mujer,313,84.01916932907348,75+
2101,1999,Hombre,273,81.6923076923077,75+
2101,1999,Mujer,302,84.9205298013245,75+
2101,2000,Hombre,222,82.04054054054055,75+
2101,2000,Mujer,295,84.23389830508475,75+
2101,2001,Hombre,242,82.3801652892562,75+
2101,2001,Mujer,313,84.43450479233226,75+
2101,2002,Hombre,235,81.72340425531915,75+
2101,2002,Mujer,323,84.10216718266254,75+
2101,2003,Hombre,256,81.13671875,75+
2101,2003,Mujer,322,83.73913043478261,75+
2101,2004,Hombre,275,82.02909090909091,75+
2101,2004,Mujer,359,84.016713091922,75+
2101,2005,Hombre,280,82.14642857142857,75+
2101,2005,Mujer,358,83.72625698324022,75+
2101,2006,Hombre,281,81.23131672597864,75+
2101,2006,Mujer,374,83.9572192513369,75+
2101,2007,Hombre,345,81.11304347826086,75+
2101,2007,Mujer,459,83.44880174291939,75+
2101,2008,Hombre,334,82.1497005988024,75+
2101,2008,Mujer,422,84.6090047393365,75+
2101,2009,Hombre,288,81.95833333333333,75+
2101,2009,Mujer,369,83.95663956639567,75+
2101,2010,Hombre,350,82.10285714285715,75+
2101,2010,Mujer,417,84.32853717026379,75+
2101,2011,Hombre,339,82.50442477876106,75+
2101,2011,Mujer,400,85.0875,75+
2101,2012,Hombre,318,82.68553459119497,75+
2101,2012,Mujer,491,84.88798370672097,75+
2101,2013,Hombre,344,82.56976744186046,75+
2101,2013,Mujer,474,84.89662447257383,75+
2101,2014,Hombre,374,82.71390374331551,75+
2101,2014,Mujer,492,84.67276422764228,75+
2101,2015,Hombre,372,82.76344086021506,75+
2101,2015,Mujer,463,84.98272138228941,75+
2101,2016,Hombre,369,82.53658536585365,75+
2101,2016,Mujer,503,84.86679920477137,75+
2101,2017,Hombre,388,83.22938144329896,75+
2101,2017,Mujer,517,85.678916827853,75+
2101,2018,Hombre,372,82.87903225806451,75+
2101,2018,Mujer,549,85.45719489981785,75+
2101,2019,Hombre,372,83.70698924731182,75+
2101,2019,Mujer,542,85.05166051660517,75+
2102,1990,Hombre,3,81.66666666666667,75+
2102,1990,Mujer,3,80.33333333333333,75+
2102,1991,Hombre,9,83.44444444444444,75+
2102,1991,Mujer,1,76.0,75+
2102,1992,Hombre,9,79.11111111111111,75+
2102,1992,Mujer,1,88.0,75+
2102,1993,Hombre,9,78.0,75+
2102,1993,Mujer,4,79.0,75+
2102,1994,Hombre,4,80.75,75+
2102,1994,Mujer,5,83.8,75+
2102,1995,Hombre,2,83.0,75+
2102,1995,Mujer,2,83.5,75+
2102,1996,Hombre,7,80.0,75+
2102,1996,Mujer,2,80.0,75+
2102,1997,Hombre,2,82.5,75+
2102,1997,Mujer,5,87.8,75+
2102,1998,Hombre,4,80.0,75+
2102,1998,Mujer,9,83.77777777777777,75+
2102,1999,Hombre,2,87.0,75+
2102,1999,Mujer,5,82.0,75+
2102,2000,Hombre,6,85.83333333333333,75+
2102,2000,Mujer,6,84.0,75+
2102,2001,Hombre,6,86.5,75+
2102,2001,Mujer,4,83.5,75+
2102,2002,Hombre,8,82.5,75+
2102,2002,Mujer,4,83.25,75+
2102,2003,Hombre,6,82.83333333333333,75+
2102,2003,Mujer,6,83.5,75+
2102,2004,Hombre,4,78.25,75+
2102,2004,Mujer,10,83.3,75+
2102,2005,Hombre,4,82.0,75+
2102,2005,Mujer,5,86.6,75+
2102,2006,Hombre,9,81.77777777777777,75+
2102,2006,Mujer,5,85.4,75+
2102,2007,Hombre,7,82.42857142857143,75+
2102,2007,Mujer,3,78.33333333333333,75+
2102,2008,Hombre,7,80.85714285714286,75+
2102,2008,Mujer,9,86.33333333333333,75+
2102,2009,Hombre,9,79.44444444444444,75+
2102,2009,Mujer,13,84.23076923076923,75+
2102,2010,Hombre,11,80.72727272727273,75+
2102,2010,Mujer,5,86.4,75+
2102,2011,Hombre,4,86.25,75+
2102,2011,Mujer,8,81.75,75+
2102,2012,Hombre,7,81.14285714285714,75+
2102,2012,Mujer,3,82.33333333333333,75+
2102,2013,Hombre,10,83.7,75+
2102,2013,Mujer,9,83.66666666666667,75+
2102,2014,Hombre,7,81.71428571428571,75+
2102,2014,Mujer,8,84.25,75+
2102,2015,Hombre,8,81.375,75+
2102,2015,Mujer,9,85.44444444444444,75+
2102,2016,Hombre,7,83.14285714285714,75+
2102,2016,Mujer,7,85.42857142857143,75+
2102,2017,Hombre,9,82.88888888888889,75+
2102,2017,Mujer,9,84.44444444444444,75+
2102,2018,Hombre,9,83.11111111111111,75+
2102,2018,Mujer,16,85.0,75+
2102,2019,Hombre,8,82.875,75+
2102,2019,Mujer,16,83.0,75+
2103,1990,Hombre,1,78.0,75+
2103,1990,Mujer,1,94.0,75+
